f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_bathtub,d_bedlinens,d_bodysoap,d_carbonmonoxidealarm,d_coffeemaker,d_conditioner,d_cookingbasics,d_dedicatedworkspace,d_dishesandsilverware,d_dryer,d_elevator,d_essentials,d_ethernetconnection,d_extrapillowsandblankets,d_fireextingr,d_firstaidkit,d_hairdryer,d_hangers,d_heating,d_hotthampoo,d_hotwater,d_iron,d_keypad,d_kitchen,d_ledropoffallowed,d_lockonbedroomdoor,d_lockbox,d_longtermstaysallowed,d_microwave,d_oven,d_paidparkingoffpremises,d_patioorbalcony,d_privateentrance,d_refrigerator,d_roomdarkeningshades,d_shampoo,d_showergel,d_singlelevelhome,d_smartlock,d_smokealarm,d_washer,d_stove_gas_or_elect,d_tv,d_wifi,price,price_day,id,usd_price_day,ln_usd_price_day,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_number_of_reviews,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month,flag_n_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating
Apartment,Entire home/apt,Entire/Apt,Sumida Ku,4,95,165,1.46,3,2,3393,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,"$11,000.00",11000,197677,105.6,4.659658371272161,16,1.3862943611198906,1.9218120556728056,1.3862943611198906,5.111987788356544,3,3,0,0,0,0,8.129764445794171,66.093069944099,537.3210901449235,11512449,39061739457,4.553876891600541
Apartment,Entire home/apt,Entire/Apt,Shinjuku Ku,3,90,93,0.97,30,4,2878,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,"$5,200.00",5200,899003,49.919999999999995,3.9104217240611723,9,1.0986122886681098,1.206948960812582,1.0986122886681098,4.543294782270004,3,3,0,0,0,0,7.965198290612176,63.444383808771136,505.34709746256664,8282884,23838140152,4.499809670330265
Apartment,Entire home/apt,Entire/Apt,Shinjuku Ku,2,99,162,1.84,1,1,2639,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,"$29,914.00",29914,1306664,287.1744,5.6600896967109255,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,5.093750200806762,3,1,0,0,0,0,7.878534196140362,62.071301079753056,489.03086815575864,6964321,18378843119,4.59511985013459
Apartment,Entire home/apt,Entire/Apt,Katsushika Ku,5,99,304,3.37,3,5,2703,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,"$11,057.00",11057,1441639,106.14719999999998,4.6648268100340555,25,1.6094379124341003,2.5902903939802346,1.6094379124341003,5.720311776607412,3,3,0,0,0,0,7.902487437162855,62.44930769451675,493.5048695154362,7306209,19748682927,4.59511985013459
Apartment,Private room,Private,Shinjuku Ku,3,97,156,1.75,2,0,2676,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,"$6,980.00",6980,1526132,67.008,4.204812015248072,9,1.0986122886681098,1.206948960812582,0,5.056245805348308,3,2,0,0,0,0,7.892452043520352,62.29079925926858,491.6271459063304,7160976,19162771776,4.574710978503383
Apartment,Private room,Private,Shinjuku Ku,3,97,130,1.47,2,0,2660,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,"$6,980.00",6980,1544970,67.008,4.204812015248072,9,1.0986122886681098,1.206948960812582,0,4.875197323201151,3,2,0,0,0,0,7.886457270977689,62.19620828695686,490.50773907191376,7075600,18821096000,4.574710978503383
Apartment,Entire home/apt,Entire/Apt,Suginami Ku,5,98,9,0.12,1,3,2230,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,"$12,000.00",12000,2129583,115.19999999999999,4.746669748261791,25,1.6094379124341003,2.5902903939802346,1.6094379124341003,2.302585092994046,2,1,0,0,0,0,7.7102051944325325,59.447264140254404,458.35060476899235,4972900,11089567000,4.584967478670572
Apartment,Entire home/apt,Entire/Apt,Suginami Ku,4,100,16,0.23,1,3,2104,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,"$12,429.00",12429,2219300,119.31839999999998,4.781795550237165,16,1.3862943611198906,1.9218120556728056,1.3862943611198906,2.833213344056216,2,1,0,0,0,0,7.652070746116482,58.554186703571645,448.06077913704326,4426816,9314020864,4.605170185988092
Apartment,Private room,Private,Koto Ku,2,87,42,0.66,30,1,1907,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,"$2,200.00",2200,2262879,21.119999999999997,3.050220458838061,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,3.7612001156935624,2,3,0,0,0,0,7.553810852008231,57.06005838791732,431.0208882668732,3636649,6935089643,4.465908118654584
Apartment,Entire home/apt,Entire/Apt,Shinjuku Ku,2,88,73,0.87,30,0,2521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"$4,000.00",4000,2289698,38.4,3.648057459593681,4,0.6931471805599453,0.4804530139182014,0,4.30406509320417,3,3,0,0,0,0,7.8328075165248645,61.35287359092842,480.56524942342395,6355441,16022066761,4.477336814478207
