"Var.1","RMSE","Mean.price","RMSE.price"
"Apartment size",NA,NA,NA
"large apt",43.8460412289258,96.81456,0.452886851202194
"small apt",28.8391905839425,63.1464690095847,0.456703138532816
"Room type",NA,NA,NA
"Entire home/apt",36.302562677056,77.266301814301,0.46983693828526
"Private room",21.4414227318458,66.8032744186046,0.320963649139246
"Shared room",71.2895755919204,37.3024,1.91112570751266
"Borough",NA,NA,NA
"Fuchu Shi",88.424165892964,38.4,2.30271265346261
"Hino Shi",35.5030761971397,27.84,1.27525417374783
"Kokubunji Shi",51.4560212059747,32.9184,1.56313858528892
"All",35.4535312435177,76.2724304093567,0.464827606164343
