"variable","ols_coefficient","lasso_coefficient"
"(Intercept)",-42.7474480243327,88.5568376699822
"d_airconditioning",6.66979567094748,0.277762262425094
"d_bathtub",5.90174844115259,0.66833249830034
"d_bedlinens",-5.28610886193702,-1.23832019433123
"d_bodysoap",-6.42338651823099,-3.02309434507247
"d_carbonmonoxidealarm",-10.5708871211167,-3.95996055978458
"d_coffeemaker",7.12694704536656,1.32026311760462
"d_conditioner",-11.1196732472003,-0.373098163139871
"d_cookingbasics",4.80598139040326,1.40377138461346
"d_dedicatedworkspace",1.80500983618369,0.0910303438978924
"d_dishesandsilverware",4.98135139588579,2.0936047860637
"d_dryer",2.12195268863765,1.19923443804249
"d_elevator",5.03233698341116,0.341539157648463
"d_essentials",5.80477934298766,0.764593556896775
"d_ethernetconnection",7.76249422704754,2.01403540849887
"d_extrapillowsandblankets",6.35651178230138,1.20588267271479
"d_fireextingr",-5.03368664304123,-1.31277831278143
"d_firstaidkit",-1.82485794249154,NA
"d_hairdryer",-1.5555786932784,-0.0113009342432786
"d_hangers",1.66465307488242,1.24496761872548
"d_heating",2.2491924051438,NA
"d_hotthampoo",-23.9050605239194,-4.42697155741766
"d_hotwater",-8.20576115685953,-1.93488124998481
"d_iron",0.186389193142954,NA
"d_keypad",2.13601817398603,0.827177608607655
"d_kitchen",-1.73446018800833,0.113213144784904
"d_ledropoffallowed",0.0631787674149214,NA
"d_lockbox",-11.9580423012653,-4.49692367992912
"d_lockonbedroomdoor",8.48790331057953,NA
"d_longtermstaysallowed",1.06866305238248,0.11478255993748
"d_microwave",6.79256817108738,2.0885438693653
"d_oven",3.3539360675309,1.36222768421431
"d_paidparkingoffpremises",-1.16586383650372,NA
"d_patioorbalcony",-0.134778355610408,NA
"d_privateentrance",7.02909883717273,2.85277069828283
"d_refrigerator",-13.3794555191899,-4.75694912957737
"d_roomdarkeningshades",-7.29703857353997,-2.5420511325956
"d_shampoo",-17.4410105423619,-4.22968261033413
"d_showergel",9.15525720179652,3.54128247316391
"d_singlelevelhome",-4.36155151152094,-0.581799830793033
"d_smartlock",2.01361197907481,NA
"d_smokealarm",8.02922381195629,0.566923863125911
"d_stove_gas_or_elect",1.19773257951242,NA
"d_tv",2.20292277270702,0.985207933099644
"d_washer",-2.78157914239353,0.285888643391421
"d_wifi",1.11201332875351,NA
"f_neighbourhood_cleansedAkiruno Shi",-1.34367002135351,-0.582443252994241
"f_neighbourhood_cleansedAkishima Shi",8.37222116705266,NA
"f_neighbourhood_cleansedArakawa Ku",18.3521426058343,0.0891632133369695
"f_neighbourhood_cleansedArakawa Ku:f_room_typePrivate room",NA,-0.596559252450371
"f_neighbourhood_cleansedBunkyo Ku",43.3502907559865,0.712691305373083
"f_neighbourhood_cleansedBunkyo Ku:d_elevator",NA,-0.216080190772734
"f_neighbourhood_cleansedChiyoda Ku",87.2151194165472,7.60048632119681
"f_neighbourhood_cleansedChiyoda Ku:d_elevator",NA,-0.874044673960006
"f_neighbourhood_cleansedChofu Shi",NA,NA
"f_neighbourhood_cleansedChuo Ku",21.8220296804478,-5.3194420317948
"f_neighbourhood_cleansedChuo Ku:d_elevator",NA,0.0869971029970094
"f_neighbourhood_cleansedEdogawa Ku",3.55154515758885,NA
"f_neighbourhood_cleansedEdogawa Ku:d_elevator",NA,0.100852076983189
"f_neighbourhood_cleansedEdogawa Ku:f_room_typePrivate room",NA,-0.224132828759443
"f_neighbourhood_cleansedFuchu Shi",NA,NA
"f_neighbourhood_cleansedFussa Shi",-53.9211059177563,-0.416775846296507
"f_neighbourhood_cleansedFussa Shi:f_room_typePrivate room",NA,-0.00198572904392662
"f_neighbourhood_cleansedHamura Shi",79.6663472179531,NA
"f_neighbourhood_cleansedHigashimurayama Shi",2.74152759831394,NA
"f_neighbourhood_cleansedHino Shi",-22.3008236689385,-1.73253469048631
"f_neighbourhood_cleansedItabashi Ku",17.8293412338734,-0.205882409497114
"f_neighbourhood_cleansedItabashi Ku:d_elevator",NA,-0.365912240769252
"f_neighbourhood_cleansedKatsushika Ku",6.61450705926138,NA
