"varname","imp","imp_percentage"
"n_accommodates",1706.48962864194,0.0880089667285308
"n_days_since",1287.94443357675,0.066423291944094
"n_beds",1281.94814762858,0.0661140448665554
"n_number_of_reviews",1100.20827726349,0.0567411556700723
"n_review_scores_rating",838.937932439827,0.043266633060148
"Borough:Minato Ku",575.274377276005,0.0296686851649675
"Room type:Private room",413.080101044902,0.0213038229233252
"d_elevator",380.012984618048,0.0195984490959229
"d_tv",358.473789418693,0.018487605946429
"d_lockonbedroomdoor",349.596120729886,0.018029757017759
"Borough:Shibuya Ku",346.189962962876,0.0178540908897278
"d_dryer",338.585650869854,0.0174619129129294
"d_carbonmonoxidealarm",336.767480906381,0.0173681442447018
"Borough:Shinjuku Ku",328.168201327979,0.0169246527065158
"d_privateentrance",304.329694665587,0.0156952269283011
"d_iron",300.043808720652,0.0154741904876459
"d_kitchen",299.283938772854,0.0154350016359639
"d_cookingbasics",282.424027670681,0.0145654836908604
"d_lockbox",275.600366180979,0.0142135662886481
"d_keypad",267.667478162144,0.0138044426315261
"d_hangers",258.267003684874,0.0133196309856675
"d_heating",258.019931063525,0.0133068886837239
"d_firstaidkit",257.379835734009,0.0132738769808615
"d_ledropoffallowed",256.918961148338,0.0132501082480221
"d_roomdarkeningshades",248.003357488941,0.0127903028951767
"d_showergel",246.1732576692,0.0126959189672336
"d_longtermstaysallowed",237.638053687997,0.0122557320064721
"d_bedlinens",236.093387432819,0.0121760687733783
"d_dedicatedworkspace",235.444915724853,0.0121426250746808
"d_fireextingr",234.170594884341,0.0120769043937157
"d_paidparkingoffpremises",229.245069866734,0.0118228797807797
"d_washer",221.110097673998,0.0114033340155835
"d_hotwater",220.974606980717,0.0113963463399968
"d_stove_gas_or_elect",206.896337281146,0.0106702862756465
"d_patioorbalcony",204.906817466671,0.0105676805637693
"d_microwave",193.793458053086,0.00999453012531586
"d_refrigerator",183.924803605931,0.00948557298527965
"d_dishesandsilverware",183.707169777438,0.00947434893325534
"d_bathtub",182.047920757839,0.00938877631135991
"d_ethernetconnection",181.684658758886,0.00937004176258623
"Borough:Chiyoda Ku",177.842226732726,0.0091718756169085
"d_extrapillowsandblankets",172.593417171636,0.00890117821665888
"d_coffeemaker",169.096538056486,0.00872083330712439
"Borough:Taito Ku",168.678682812572,0.00869928321526228
"d_hairdryer",168.064664693842,0.00866761639509827
"Borough:Toshima Ku",164.812921668487,0.00849991391456461
"Borough:Sumida Ku",154.094549598209,0.00794713419936189
"d_shampoo",149.687910951334,0.00771987016707701
"flag_n_number_of_reviews",145.368361583873,0.00749709759923806
"Borough:Ota Ku",143.575952785221,0.00740465751423731
"d_oven",143.44990341594,0.00739815675703319
"flag_review_scores_rating",142.88229530801,0.00736888344517283
"d_wifi",134.697238347831,0.00694675465306717
"Borough:Nakano Ku",134.61789322662,0.00694266257889597
"Borough:Chuo Ku",119.545453723447,0.00616533009208313
"d_smartlock",114.817257786031,0.00592148235227989
"d_smokealarm",110.219753200366,0.00568437477112453
"d_singlelevelhome",102.753429875884,0.00529931330340745
"Borough:Shinagawa Ku",93.4946949049269,0.00482181160381862
"d_conditioner",87.9330080831212,0.00453497815212964
"Borough:Kita Ku",77.8801611543841,0.00401652163412413
"d_bodysoap",70.8147395976263,0.00365213591488211
"Borough:Arakawa Ku",66.5677126562998,0.00343310355365303
"d_hotthampoo",64.0421786462023,0.00330285392603394
"Borough:Setagaya Ku",60.2241739781067,0.00310594757502892
"Borough:Suginami Ku",47.3949039904344,0.00244430230244971
"Borough:Bunkyo Ku",46.0356730392149,0.00237420254353265
"d_airconditioning",45.8043238412609,0.00236227114733565
"d_essentials",38.2826117917125,0.00197435311115215
"Borough:Katsushika Ku",36.8821915150065,0.00190212909087687
"Borough:Koto Ku",36.4790093879464,0.00188133573719314
"Borough:Meguro Ku",36.1779811655844,0.0018658107774386
"Borough:Edogawa Ku",25.5662279119778,0.00131852972553366
"Borough:Itabashi Ku",17.4680890167722,0.000900883567813752
"Borough:Nerima Ku",10.1686041218633,0.000524426475740651
"Borough:Mitaka Shi",8.57928573333185,0.000442460393539132
"Borough:Hamura Shi",8.38037712029809,0.000432202058995114
"Borough:Tachikawa Shi",8.06263318605488,0.000415815018096859
"Borough:Kokubunji Shi",7.15564533097239,0.000369038839313598
"Room type:Shared room",6.51343831315497,0.000335918230131284
"Borough:Komae Shi",6.37599079351817,0.000328829634935859
"Borough:Nishitokyo Shi",5.55134077324392,0.000286299873852719
"Borough:Hino Shi",3.69506207692765,0.000190565819990937
"Borough:Musashino Shi",3.58129827331241,0.000184698667539942
"Borough:Ome Shi",2.33011446941593,0.000120171235365605
"Borough:Kodaira Shi",1.14145978225708,5.88686238184562e-05
"Borough:Akiruno Shi",0.785143426995966,4.04922834477485e-05
"Borough:Fussa Shi",0.508760235807061,2.623834444372e-05
"Borough:Tama Shi",0.475854421210686,2.4541289452362e-05
"Borough:Higashimurayama Shi",0.474370220577501,2.44647446190667e-05
"Borough:Koganei Shi",0.384186005813605,1.98136647511446e-05
"Borough:Kunitachi Shi",0.308447253656636,1.59075822254935e-05
"Borough:Akishima Shi",0.110950030806038,5.7220374538748e-06
"Borough:Machida Shi",0.096131184692518,4.95778356526609e-06
"Borough:Chofu Shi",0,0
"Borough:Fuchu Shi",0,0
